year,country,sex,name,count,prop,ranking,rank_other
1997,E,F,TIA,485,0.00163463677359775,97,99
1997,E,F,CHARLIE,471,0.00158745138219493,98,131
1997,E,F,NICOLA,469,0.00158071061199453,99,138
1997,E,F,RUBY,461,0.00155374753119291,100,153
1997,E,M,JACK,9296,0.029808725208831,1,4
1997,E,M,JAMES,9114,0.0292251206490196,2,5
1997,E,M,THOMAS,8625,0.0276570842218339,3,3
1997,E,M,DANIEL,8153,0.0261435603084767,4,2
1997,E,M,JOSHUA,6981,0.0223854034727678,5,1
1997,E,M,MATTHEW,6789,0.0217697327283513,6,8
1997,E,M,SAMUEL,5951,0.0190825864584502,7,11
1997,E,M,JOSEPH,5307,0.0170175241698866,8,15
1997,E,M,RYAN,5128,0.0164435394654567,9,10
1997,E,M,JORDAN,4847,0.0155424796780555,10,6
1997,E,M,LUKE,4691,0.0150422471982171,11,12
1997,E,M,HARRY,4448,0.014263038912315,12,35
1997,E,M,BENJAMIN,4422,0.014179666832342,13,17
1997,E,M,CONNOR,4421,0.0141764602138815,14,14
1997,E,M,GEORGE,4420,0.014173253595421,15,45
1997,E,M,ALEXANDER,4389,0.0140738484231454,16,21
1997,E,M,WILLIAM,4251,0.013631335075596,17,20
1997,E,M,CALLUM,4223,0.013541549758702,18,9
1997,E,M,LIAM,4136,0.0132625739526382,19,7
1997,E,M,ADAM,3824,0.0122621089929615,20,19
1997,E,M,JAKE,3700,0.0118644883038592,21,26
1997,E,M,LEWIS,3617,0.0115983389716375,22,16
1997,E,M,OLIVER,3512,0.0112616440332847,23,47
1997,E,M,MICHAEL,3321,0.0106491799073287,24,26
1997,E,M,CHRISTOPHER,2716,0.00870917573872473,25,38
1997,E,M,NATHAN,2685,0.00860977056644915,26,18
1997,E,M,BRADLEY,2596,0.00832438152346443,27,49
1997,E,M,KIERAN,2499,0.00801333953279569,28,22
1997,E,M,BEN,2385,0.00764778502829841,29,35
1997,E,M,JACOB,2380,0.0076317519359959,30,25
1997,E,M,MOHAMMED,2348,0.00752914014525982,31,108
1997,E,M,JAMIE,2304,0.00738804893299771,32,30
1997,E,M,AARON,2291,0.00734636289301118,33,28
1997,E,M,ROBERT,2092,0.00670824581937118,34,40
1997,E,M,CHARLIE,2075,0.00665373330554264,35,82
1997,E,M,CAMERON,2053,0.00658318769941159,36,37
1997,E,M,BRANDON,2035,0.00652546856712254,37,33
1997,E,M,ANDREW,2025,0.00649340238251752,38,50
1997,E,M,KYLE,1974,0.00632986484103189,39,23
1997,E,M,DAVID,1963,0.00629459203796636,40,23
1997,E,M,REECE,1728,0.00554103669974828,41,139
1997,E,M,CHARLES,1711,0.00548652418591974,42,122
1997,E,M,EDWARD,1635,0.00524282118292155,43,73
1997,E,M,ALEX,1573,0.0050440108383704,44,33
1997,E,M,JONATHAN,1551,0.00497346523223934,45,51
1997,E,M,ASHLEY,1519,0.00487085344150326,46,32
1997,E,M,SAM,1428,0.00457905116159754,47,63
1997,E,M,JOE,1375,0.00440910038319091,48,85
1997,E,M,JOHN,1301,0.00417181061711372,49,67
1997,E,M,DOMINIC,1261,0.00404354587869362,50,75
1997,E,M,SCOTT,1242,0.00398262012794408,51,30
1997,E,M,LOUIS,1240,0.00397620689102307,52,79
1997,E,M,HENRY,1211,0.0038832149556685,53,125
1997,E,M,SEAN,1205,0.00386397524490548,54,51
1997,E,M,MAX,1188,0.00380946273107694,55,103
1997,E,M,NICHOLAS,1177,0.00377418992801142,56,64
1997,E,M,DYLAN,1176,0.00377098330955091,57,29
1997,E,M,TYLER,1083,0.00347276779272418,58,70
1997,E,M,ROSS,1074,0.00344390822657966,59,70
1997,E,M,RHYS,979,0.00313927947283193,60,13
1997,E,M,ELLIOT,970,0.0031104199066874,61,77
1997,E,M,PETER,936,0.00300139487903032,62,86
1997,E,M,MARK,931,0.00298536178672781,63,87
1997,E,M,CONOR,921,0.00295329560212278,64,60
1997,E,M,ETHAN,881,0.00282503086370268,65,41
1997,E,M,PATRICK,875,0.00280579115293967,66,94
1997,E,M,STEPHEN,861,0.00276089849449263,67,73
1997,E,M,BILLY,854,0.00273845216526912,68,125
1997,E,M,DECLAN,835,0.00267752641451957,69,70
1997,E,M,ANTHONY,834,0.00267431979605907,70,103
1997,E,M,RICHARD,787,0.00252360872841545,71,61
1997,E,M,JASON,774,0.00248192268842892,72,78
1997,E,M,LEE,772,0.00247550945150791,73,99
1997,E,M,TOBY,738,0.00236648442385083,74,163
1997,E,M,MITCHELL,725,0.0023247983838643,75,103
1997,E,M,HARRISON,717,0.00229914543618028,76,92
1997,E,M,PAUL,703,0.00225425277773324,77,87
1997,E,M,AIDAN,701,0.00224783954081224,78,143
1997,E,M,JOEL,700,0.00224463292235173,79,57
1997,E,M,SHANE,700,0.00224463292235173,79,62
1997,E,M,STEVEN,695,0.00222859983004922,81,119
1997,E,M,OWEN,671,0.00215164098699716,82,43
1997,E,M,MOHAMMAD,645,0.0020682689070241,83,174
1997,E,M,JAY,620,0.00198810344551154,84,76
